Column1,Name,Salary
355,James Ennis,1882867
355,Glenn Robinson III,1882867
355,Nerlens Noel,1882867
358,Larry Sanders,1865546
359,Bruno Caboclo,1845301
359,Shabazz Napier,1845301
361,Mario Hezonja,1737145
361,JaKarr Sampson,1737145
361,Raul Neto,1737145
361,Emmanuel Mudiay,1737145
365,Pat Connaughton,1723050
366,Jahlil Okafor,1702486
367,Rodions Kurucs,1699236
368,Jonah Bolden,1698450
369,Dragan Bender,1678854
369,David Nwaba,1678854
369,Marquese Chriss,1678854
369,Cheick Diallo,1678854
373,Georges Niang,1645357
373,Christian Wood,1645357
373,Derrick Jones,1645357
373,Treveon Graham,1645357
373,Jordan McRae,1645357
378,Justin Patton,1620564
378,Furkan Korkmaz,1620564
378,Tyrone Wallace,1620564
378,Shaquille Harrison,1620564
378,Tim Frazier,1620564
378,Jordan Bell,1620564
384,Semi Ojeleye,1618520
384,Dwayne Bacon,1618520
384,Dillon Brooks,1618520
384,Sterling Brown,1618520
384,Frank Jackson,1618520
384,Damyean Dotson,1618520
384,Abdel Nader,1618520
384,Wesley Iwundu,1618520
384,Royce O'Neale,1618520
393,Jabari Bird,1588231
393,Alfonzo McKinnie,1588231
393,Monte Morris,1588231
393,Chris Boucher,1588231
393,Malcolm Miller,1588231
398,Mitchell Robinson,1559712
399,Willy Hernangomez,1557250
400,Isaiah Roby,1500000
400,Nigel Williams-Goss,1500000
402,Antonio Blakeney,1488231
403,JR Smith,1456667
404,Thanasis Antetokounmpo,1445697
404,Shake Milton,1445697
404,Brad Wanamaker,1445697
404,Theo Pinson,1445697
404,Derrick Walton,1445697
409,Khyri Thomas,1416852
409,Isaiah Hartenstein,1416852
409,Deonte Burton,1416852
409,Elie Okobo,1416852
409,Gary Trent Jr,1416852
409,Isaac Bonga,1416852
409,Devonte Graham,1416852
409,Ryan Broekhoff,1416852
409,Jalen Brunson,1416852
409,Jarred Vanderbilt,1416852
409,Bruce Brown,1416852
409,Sviatoslav Mykhailiuk,1416852
409,Gary Clark,1416852
409,Alize Johnson,1416852
409,De'Anthony Melton,1416852
409,Kendrick Nunn,1416852
409,Duncan Robinson,1416852
409,Keita Bates-Diop,1416852
409,Kenrich Williams,1416852
409,Hamidou Diallo,1416852
409,Melvin Frazier,1416852
409,Jevon Carter,1416852
409,Chimezie Metu,1416852
432,Bruno Fernando,1400000
432,Jaylen Nowell,1400000
434,Kevin Porter,1290960
435,Carsen Edwards,1228026
436,Cody Martin,1173310
437,Guerschon Yabusele,1039080
438,Terance Mann,1000000
438,Admiral Schofield,1000000
438,Justin Hamilton,1000000
438,Jonathon Simmons,1000000
442,Kyle Singler,999200
443,Vlatko Cancar,898310
443,Javonte Green,898310
443,Nicolas Claxton,898310
443,Daniel Gafford,898310
443,Eric Paschall,898310
443,Alen Smailagic,898310
443,Talen Horton-Tucker,898310
443,KZ Okpala,898310
443,Naz Reid,898310
443,Ignas Brazdeikis,898310
443,Jalen Lecque,898310
443,Justin James,898310
443,Dewan Hernandez,898310
443,Matt Thomas,898310
443,Justin Robinson,898310
443,Caleb Martin,898310
443,Jalen McDaniels,898310
443,DaQuan Jeffries,898310
443,Terence Davis,898310
443,Stanton Kidd,898310
443,Miye Oni,898310
464,Raymond Spalding,708426
465,Cole Aldrich,685340
466,Shaun Livingston,666666
467,Dakari Johnson,459414
468,CJ Watson,333333
468,Festus Ezeli,333333
470,Deyonta Davis,250000
471,Joe Johnson,220000
472,Cameron Payne,150000
473,Troy Williams,122741
474,Jaylen Adams,100000
474,Yante Maten,100000
476,Demetrius Jackson,92857
477,Charlie Brown,79568
477,Brandon Goodwin,79568
477,Tacko Fall,79568
477,Tremont Waters,79568
477,Henry Ellenson,79568
477,Timothe Luwawu,79568
477,Robert Franks,79568
477,Kobi Simmons,79568
477,Adam Mokoka,79568
477,Max Strus,79568
477,Tyler Cook,79568
477,Dean Wade,79568
477,Antonius Cleveland,79568
477,Josh Reaves,79568
477,Bol Bol,79568
477,PJ Dozier,79568
477,Jordan Bone,79568
477,Louis King,79568
477,Ky Bowman,79568
477,Damion Lee,79568
477,Chris Clemons,79568
477,Michael Frazier,79568
477,Brian Bowen,79568
477,Naz Long,79568
477,Amir Coffey,79568
477,Johnathan Motley,79568
477,Kostas Antetokounmpo,79568
477,Zach Norvell,79568
477,John Konchar,79568
477,Yuta Watanabe,79568
477,Daryl Macon,79568
477,Chris Silva,79568
477,Frank Mason,79568
477,Cam Reynolds,79568
477,Jordan McLaughlin,79568
477,Kelan Martin,79568
477,Zylan Cheatham,79568
477,Josh Gray,79568
477,Kadeem Allen,79568
477,Ivan Rabb,79568
477,Luguentz Dort,79568
477,Devon Hall,79568
477,Amile Jefferson,79568
477,Josh Magette,79568
477,Norvel Pelle,79568
477,Marial Shayok,79568
477,Jared Harper,79568
477,Moses Brown,79568
477,Jaylen Hoard,79568
477,Wenyen Gabriel,79568
477,Kyle Guy,79568
477,Drew Eubanks,79568
477,Quinndary Weatherspoon,79568
477,Oshae Brissett,79568
477,Shamorie Ponds,79568
477,Jarrell Brantley,79568
477,Justin Wright-Foreman,79568
477,Chris Chiozza,79568
477,Garrison Mathews,79568
536,Joe Chealey,50000
536,Tyler Lydon,50000
