rank,Name,Team,POS,Salary,Years,Total Value,Avg Annual,Affliation
188,Eugenio Suarez,CIN,3B,7285714,7 (2018-24),66000000,9428571,
189,Yan Gomes,WSH,C,7250000,6 (2014-19),23000000,3833333,
189,Dellin Betances,NYY,RP,7250000,1 (2019),7250000,7250000,
191,David Peralta,ARI,LF,7000000,1 (2019),7000000,7000000,
191,Derek Holland,SF,SP,7000000,1 (2019),7000000,7000000,
191,Drew Smyly,TEX,SP,7000000,2 (2018-19),10000000,5000000,
191,Trevor Rosenthal,WSH,RP,7000000,1 (2019),7000000,7000000,
191,Garrett Richards,SD,SP,7000000,2 (2019-20),15500000,7750000,
196,Chase Anderson,MIL,SP,6750000,2 (2018-19),11750000,5875000,
196,Jhoulys Chacin,MIL,SP,6750000,2 (2018-19),15500000,7750000,
198,Kolten Wong,STL,2B,6700000,5 (2016-20),25500000,5100000,
198,Gregory Polanco,PIT,OF,6700000,5 (2017-21),35000000,7000000,
200,Jeurys Familia,NYM,RP,6666666,3 (2019-21),30000000,10000000,
201,Mitch Moreland,BOS,1B,6500000,2 (2018-19),13000000,6500000,
201,Roberto Osuna,HOU,RP,6500000,1 (2019),6500000,6500000,
201,Joakim Soria,OAK,RP,6500000,2 (2019-20),15000000,7500000,
201,Tony Watson,SF,RP,6500000,2 (2018-19),9500000,4750000,
201,Sean Doolittle,WSH,RP,6500000,1 (2019),6500000,6500000,
206,Aaron Hicks,NYY,CF,6428571,7 (2019-25),70000000,10000000,
207,Blake Treinen,OAK,RP,6400000,1 (2019),6400000,6400000,
208,Michael Wacha,STL,SP,6350000,1 (2019),6350000,6350000,
209,Eric Thames,MIL,1B,6333333,3 (2017-19),16000000,5333333,
210,Ken Giles,TOR,RP,6300000,1 (2019),6300000,6300000,
211,Pedro Strop,CHC,RP,6250000,1 (2019),6250000,6250000,
211,Steve Pearce,BOS,1B,6250000,1 (2019),6250000,6250000,
213,Max Kepler,MIN,RF,6200000,5 (2019-23),35000000,7000000,
214,Eduardo Escobar,ARI,3B,6166666,3 (2019-21),21000000,7000000,
215,Robbie Ray,ARI,SP,6050000,1 (2019),6050000,6050000,
216,Yusmeiro Petit,OAK,RP,6000000,2 (2018-19),10000000,5000000,
216,Tyler Flowers,ATL,C,6000000,1 (2019),6000000,6000000,
216,Nick Markakis,ATL,RF,6000000,1 (2019),6000000,6000000,
216,Raisel Iglesias,CIN,RP,6000000,3 (2019-21),24125000,8041667,
216,Noah Syndergaard,NYM,SP,6000000,1 (2019),6000000,6000000,
216,Mike Fiers,OAK,SP,6000000,2 (2019-20),14100000,7050000,
222,Zack Wheeler,NYM,SP,5975000,1 (2019),5975000,5975000,
223,Marcus Semien,OAK,SS,5900000,1 (2019),5900000,5900000,
223,J.T. Realmuto,PHI,C,5900000,1 (2019),5900000,5900000,
225,Kevin Pillar,TOR,CF,5800000,1 (2019),5800000,5800000,
225,Collin McHugh,HOU,SP,5800000,1 (2019),5800000,5800000,
227,Robinson Chirinos,HOU,C,5750000,1 (2019),5750000,5750000,
227,Tyson Ross,DET,SP,5750000,1 (2019),5750000,5750000,
229,Ender Inciarte,ATL,CF,5700000,5 (2017-21),30525000,6105000,
230,Wil Myers,SD,LF,5666666,6 (2017-22),83000000,13833333,
231,Aaron Nola,PHI,SP,5562500,4 (2019-22),45000000,11250000,
232,Odubel Herrera,PHI,CF,5550000,5 (2017-21),30500000,6100000,
233,Luke Gregerson,STL,RP,5500000,2 (2018-19),11000000,5500000,
234,Mike Foltynewicz,ATL,SP,5475000,1 (2019),5475000,5475000,
235,Jordy Mercer,DET,SS,5250000,1 (2019),5250000,5250000,
235,Billy Hamilton,KC,CF,5250000,1 (2019),5250000,5250000,
235,A.J. Pollock,LAD,CF,5250000,4 (2019-22),55000000,13750000,
235,Fernando Rodney,OAK,RP,5250000,1 (2019),5250000,5250000,
239,Maikel Franco,PHI,3B,5200000,1 (2019),5200000,5200000,
239,Javier Baez,CHC,SS,5200000,1 (2019),5200000,5200000,
241,Luis Severino,NYY,SP,5187500,4 (2019-22),40000000,10000000,
242,Corey Knebel,MIL,RP,5125000,1 (2019),5125000,5125000,
243,Taijuan Walker,ARI,SP,5025000,1 (2019),5025000,5025000,
244,Eduardo Nunez,BOS,3B,5000000,1 (2019),5000000,5000000,
244,Brandon Kintzler,CHC,RP,5000000,1 (2019),5000000,5000000,
244,Randal Grichuk,TOR,RF,5000000,1 (2019),5000000,5000000,
244,Trevor Story,COL,SS,5000000,1 (2019),5000000,5000000,
244,Justin Wilson,NYM,RP,5000000,2 (2019-20),10000000,5000000,
244,Sam Dyson,SF,RP,5000000,1 (2019),5000000,5000000,
244,Freddy Galvis,TOR,SS,5000000,1 (2019),5000000,5000000,
244,Carlos Correa,HOU,SS,5000000,1 (2019),5000000,5000000,
244,Joc Pederson,LAD,LF,5000000,1 (2019),5000000,5000000,
253,Jonathan Villar,BAL,2B,4825000,1 (2019),4825000,4825000,
253,Jake Lamb,ARI,1B,4825000,1 (2019),4825000,4825000,
255,Arodys Vizcaino,ATL,RP,4800000,1 (2019),4800000,4800000,
255,C.J. Cron,MIN,1B,4800000,1 (2019),4800000,4800000,
257,Felipe Vazquez,PIT,RP,4750000,4 (2018-21),22000000,5500000,
258,Travis Shaw,MIL,3B,4675000,1 (2019),4675000,4675000,
259,Joe Kelly,LAD,RP,4666666,3 (2019-21),25000000,8333333,
259,Jorge Soler,KC,RF,4666666,9 (2012-20),30000000,3333333,
261,Nate Jones,CWS,RP,4650000,1 (2019),4650000,4650000,
262,Yolmer Sanchez,CWS,2B,4625000,1 (2019),4625000,4625000,
263,Chris Iannetta,COL,C,4525000,2 (2018-19),8500000,4250000,
264,Hector Rondon,HOU,RP,4500000,2 (2018-19),8500000,4250000,
264,David Freese,LAD,3B,4500000,1 (2019),4500000,4500000,
264,Wade Miley,HOU,SP,4500000,1 (2019),4500000,4500000,
264,Danny Salazar,CLE,SP,4500000,1 (2019),4500000,4500000,
268,Mike Zunino,TB,C,4412500,1 (2019),4412500,4412500,
269,Eduardo Rodriguez,BOS,SP,4300000,1 (2019),4300000,4300000,
270,Alex Avila,ARI,C,4250000,2 (2018-19),8250000,4125000,
270,Wilmer Flores,ARI,2B,4250000,1 (2019),4250000,4250000,
272,Will Smith,SF,RP,4225000,1 (2019),4225000,4225000,
272,Will Harris,HOU,RP,4225000,1 (2019),4225000,4225000,
274,Carlos Rodon,CWS,SP,4200000,1 (2019),4200000,4200000,
275,Eddie Rosario,MIN,LF,4190000,1 (2019),4190000,4190000,
276,Jorge Polanco,MIN,SS,4158333,5 (2019-23),25750000,5150000,
277,Jose Ramirez,CLE,3B,4150000,5 (2017-21),26000000,5200000,
278,Steven Souza Jr.,ARI,RF,4125000,1 (2019),4125000,4125000,
279,Lance McCullers Jr.,HOU,SP,4100000,1 (2019),4100000,4100000,
279,Tommy Pham,TB,LF,4100000,1 (2019),4100000,4100000,
281,Michael Conforto,NYM,RF,4025000,1 (2019),4025000,4025000,
282,Shane Greene,DET,RP,4000000,1 (2019),4000000,4000000,
282,Corey Seager,LAD,SS,4000000,1 (2019),4000000,4000000,
282,Marco Estrada,OAK,SP,4000000,1 (2019),4000000,4000000,
282,Ian Kinsler,SD,2B,4000000,2 (2019-20),8000000,4000000,
282,Jesse Chavez,TEX,RP,4000000,2 (2019-20),8000000,4000000,
282,Matt Adams,WSH,1B,4000000,1 (2019),4000000,4000000,
282,Kurt Suzuki,WSH,C,4000000,2 (2019-20),10000000,5000000,
282,Howie Kendrick,WSH,OF,4000000,2 (2018-19),7000000,3500000,
282,Martin Perez,MIN,RP,4000000,1 (2019),4000000,4000000,
282,Jon Jay,CWS,RF,4000000,1 (2019),4000000,4000000,
292,Aaron Sanchez,TOR,SP,3900000,1 (2019),3900000,3900000,
293,Joe Panik,SF,2B,3850000,1 (2019),3850000,3850000,
294,Jarrod Dyson,ARI,OF,3750000,2 (2018-19),7500000,3750000,
295,Trea Turner,WSH,SS,3725000,1 (2019),3725000,3725000,
295,Kike Hernandez,LAD,2B,3725000,1 (2019),3725000,3725000,
297,Tyler Skaggs,LAA,SP,3700000,1 (2019),3700000,3700000,
297,Jimmy Nelson,MIL,SP,3700000,1 (2019),3700000,3700000,
299,Nick Ahmed,ARI,SS,3662500,1 (2019),3662500,3662500,
300,Jurickson Profar,OAK,2B,3600000,1 (2019),3600000,3600000,
301,Brock Holt,BOS,2B,3575000,1 (2019),3575000,3575000,
302,Travis d'Arnaud,NYM,C,3515000,1 (2019),3515000,3515000,
303,Asdrubal Cabrera,TEX,3B,3500000,1 (2019),3500000,3500000,
303,Matt Shoemaker,TOR,SP,3500000,1 (2019),3500000,3500000,
303,Avisail Garcia,TB,RF,3500000,1 (2019),3500000,3500000,
303,Chris Taylor,LAD,2B,3500000,1 (2019),3500000,3500000,
307,Andrew Heaney,LAA,SP,3400000,1 (2019),3400000,3400000,
307,Addison Russell,CHC,SS,3400000,1 (2019),3400000,3400000,
309,Kyle Schwarber,CHC,LF,3390000,1 (2019),3390000,3390000,
310,Jonathan Lucroy,LAA,C,3350000,1 (2019),3350000,3350000,
311,Chad Bettis,COL,SP,3325000,1 (2019),3325000,3325000,
312,Nomar Mazara,TEX,RF,3300000,1 (2019),3300000,3300000,
312,Clayton Richard,TOR,SP,3300000,1 (2019),3300000,3300000,
314,Yoshihisa Hirano,ARI,RP,3250000,2 (2018-19),6000000,3000000,
314,Greg Holland,ARI,RP,3250000,1 (2019),3250000,3250000,
314,Wily Peralta,KC,RP,3250000,1 (2019),3250000,3250000,
314,Jeff Mathis,TEX,C,3250000,2 (2019-20),6250000,3125000,
314,Michael A. Taylor,WSH,CF,3250000,1 (2019),3250000,3250000,
319,Jose Urena,MIA,SP,3200000,1 (2019),3200000,3200000,
320,Keone Kela,PIT,RP,3175000,1 (2019),3175000,3175000,
320,Jeremy Jeffress,MIL,RP,3175000,1 (2019),3175000,3175000,
322,Miguel Rojas,MIA,SS,3155000,1 (2019),3155000,3155000,
323,Sean Manaea,OAK,SP,3150000,1 (2019),3150000,3150000,
324,Kenta Maeda,LAD,SP,3125000,8 (2016-23),25000000,3125000,
325,Brad Peacock,HOU,SP,3110000,1 (2019),3110000,3110000,
326,Kirby Yates,SD,RP,3062500,1 (2019),3062500,3062500,
327,Leonys Martin,CLE,CF,3000000,1 (2019),3000000,3000000,
327,Chris Owings,KC,SS,3000000,1 (2019),3000000,3000000,
327,Jung-ho Kang,PIT,3B,3000000,1 (2019),3000000,3000000,
327,Brad Brach,CHC,RP,3000000,1 (2019),3000000,3000000,
327,Adam Jones,ARI,OF,3000000,1 (2019),3000000,3000000,
327,Clay Buchholz,TOR,SP,3000000,1 (2019),3000000,3000000,
333,Tucker Barnhart,CIN,C,2937500,4 (2018-21),16000000,4000000,
334,Christian Vazquez,BOS,C,2933333,3 (2019-21),13550000,4516667,
335,Jon Gray,COL,SP,2925000,1 (2019),2925000,2925000,
336,Ryan Pressly,HOU,RP,2900000,1 (2019),2900000,2900000,
337,Dylan Bundy,BAL,SP,2800000,1 (2019),2800000,2800000,
337,Michael Fulmer,DET,SP,2800000,1 (2019),2800000,2800000,
339,Jose Peraza,CIN,2B,2775000,1 (2019),2775000,2775000,
340,Wade LeBlanc,SEA,SP,2750000,1 (2019),2750000,2750000,
340,Shawn Kelley,TEX,RP,2750000,1 (2019),2750000,2750000,
340,Jake Diekman,KC,RP,2750000,1 (2019),2750000,2750000,
340,Lonnie Chisenhall,PIT,RF,2750000,1 (2019),2750000,2750000,
344,Matt Duffy,TB,3B,2675000,1 (2019),2675000,2675000,
345,Tony Cingrani,LAD,RP,2650000,1 (2019),2650000,2650000,
345,Miguel Sano,MIN,3B,2650000,1 (2019),2650000,2650000,
347,Roberto Perez,CLE,C,2625000,4 (2017-20),9000000,2250000,
347,Steven Matz,NYM,SP,2625000,1 (2019),2625000,2625000,
347,Tyler Anderson,COL,SP,2625000,1 (2019),2625000,2625000,
350,Matt Boyd,DET,SP,2600000,1 (2019),2600000,2600000,
350,Zach Davies,MIL,SP,2600000,1 (2019),2600000,2600000,
350,Ketel Marte,ARI,CF,2600000,5 (2018-22),24000000,4800000,
353,Matt Albers,MIL,RP,2500000,2 (2018-19),5000000,2500000,
353,David Hernandez,CIN,RP,2500000,2 (2018-19),5000000,2500000,
353,Matt Moore,DET,SP,2500000,1 (2019),2500000,2500000,
353,Oliver Perez,CLE,RP,2500000,1 (2019),2500000,2500000,
353,James McCann,CWS,C,2500000,1 (2019),2500000,2500000,
353,Justin Bour,LAA,1B,2500000,1 (2019),2500000,2500000,
353,Hernan Perez,MIL,2B,2500000,1 (2019),2500000,2500000,
353,Adam Warren,SD,RP,2500000,1 (2019),2500000,2500000,
353,Martin Maldonado,KC,C,2500000,1 (2019),2500000,2500000,
353,Sergio Romo,MIA,RP,2500000,1 (2019),2500000,2500000,
353,Jose Iglesias,CIN,SS,2500000,1 (2019),2500000,2500000,
353,Seunghwan Oh,COL,RP,2500000,1 (2019),2500000,2500000,
353,David Phelps,TOR,RP,2500000,1 (2019),2500000,2500000,
366,Mike Montgomery,CHC,RP,2440000,1 (2019),2440000,2440000,
367,Eloy Jimenez,CWS,LF,2333333,6 (2019-24),43000000,7166667,
368,Craig Stammen,SD,RP,2250000,2 (2018-19),4500000,2250000,
368,Chris Martin,TEX,RP,2250000,2 (2018-19),4000000,2000000,
368,Merrill Kelly,ARI,SP,2250000,2 (2019-20),5500000,2750000,
368,Jonny Venters,ATL,RP,2250000,1 (2019),2250000,2250000,
