Rk,Name,Pos,Tm,Salary
,Tyrell Williams\WillTy00,WR,OAK,"$5,000,000 "
188,Robbie Gould\gouldrob01,K,SFO,"$4,971,000 "
189,Dee Ford\FordDe00,DE,SFO,"$4,750,000 "
,Morgan Moses\MoseMo00,OT,WAS,"$4,750,000 "
,Vernon Davis\DaviVe00,TE,WAS,"$4,750,000 "
192,Lamarcus Joyner\JoynLa00,CB,OAK,"$4,700,000 "
193,Justin Britt\BritJu00,OT,SEA,"$4,500,000 "
,Dontari Poe\PoexDo00,DT,CAR,"$4,500,000 "
,Ben Jones\JoneBe01,C,TEN,"$4,500,000 "
,Brandon Carr\CarrBr99,DB,BAL,"$4,500,000 "
197,Rhett Ellison\ElliRh00,FB,NYG,"$4,475,000 "
198,Mitch Morse\MorsMi00,OT,BUF,"$4,400,000 "
199,Corey Linsley\LinsCo00,C,GNB,"$4,300,000 "
200,Jared Goff\GoffJa00,QB,LAR,"$4,259,683 "
201,Eric Weddle\WeddEr99,DB,LAR,"$4,250,524 "
202,Kyle Van Noy\VanNKy00,OLB,NWE,"$4,250,000 "
,D.J. Swearinger\SweaDJ00,FS,ARI,"$4,250,000 "
,Danny Amendola\AmenDa00,WR,DET,"$4,250,000 "
205,Vance McDonald\McDoVa00,TE,PIT,"$4,200,000 "
,Kyle Juszczyk\JuszKy00,FB,SFO,"$4,200,000 "
207,Eric Kendricks\KendEr00,ILB,MIN,"$4,150,000 "
208,A.J. Klein\KleiAJ00,ILB,NOR,"$4,100,000 "
209,Delanie Walker\WalkHu00,TE,TEN,"$4,080,000 "
210,Alec Ogletree\OgleAl00,OLB,NYG,"$4,000,000 "
,Shaq Mason\MasoSh01,RG,NWE,"$4,000,000 "
,Patrick Robinson\RobiPa99,DB,NOR,"$4,000,000 "
,Todd Davis\DaviTo01,LB,DEN,"$4,000,000 "
,Chase Daniel\DaniCh00,QB,CHI,"$4,000,000 "
,Allen Hurns\HurnAl01,WR,MIA,"$4,000,000 "
,Dion Lewis\LewiDi00,RB,TEN,"$4,000,000 "
217,Demar Dotson\DotsDe00,T,TAM,"$3,975,000 "
218,Micah Hyde\HydeMi00,CB,BUF,"$3,950,000 "
,Rashan Gary\GaryRa00,DL,GNB,"$3,950,000 "
220,Tyler Lockett\LockTy00,WR,SEA,"$3,907,000 "
221,Ezekiel Elliott\ElliEz00,RB,DAL,"$3,853,137 "
222,John Brown\BrowJo02,WR,BUF,"$3,800,000 "
223,William Gholston\GholWi00,DE,TAM,"$3,750,000 "
,Devonta Freeman\FreeDe00,RB,ATL,"$3,750,000 "
225,Jalen Ramsey\RamsJa00,CB,2TM,"$3,634,227 "
226,Daniel Sorensen\SoreDa01,S,KAN,"$3,600,000 "
227,Jason Peters\PeteJa21,T,PHI,"$3,500,000 "
,Denico Autry\AutrDe00,DE,IND,"$3,500,000 "
,Ricardo Allen\AlleRi00,CB,ATL,"$3,500,000 "
,James Hurst\HursJa00,OT,BAL,"$3,500,000 "
,Devon Kennard\KennDe00,OLB,DET,"$3,500,000 "
,Case Keenum\KeenCa00,QB,WAS,"$3,500,000 "
,Rodger Saffold\SaffRo20,T,TEN,"$3,500,000 "
,Shawn Williams\WillSh02,SS,CIN,"$3,500,000 "
,DeVante Parker\ParkDe01,WR,MIA,"$3,500,000 "
